ID,price
10000,14.2857
10001,14.2857
10002,14.2857
10003,14.2857
10004,14.2857
10005,14.2857
10006,14.2857
10007,14.2857
10008,14.2857
10009,14.2857
10010,14.2857
10011,14.2857
10012,14.2857
10013,14.2857
10014,14.2857
10015,14.2857
10016,14.2857
10017,14.2857
10018,14.2857
10019,14.2857
10020,14.2857
10021,14.2857
10022,14.2857
10023,14.2857
10024,14.2857
10025,14.2857
10026,14.2857
10027,14.2857
10028,14.2857
10029,14.2857
10030,14.2857
10031,14.2857
10032,14.2857
10033,14.2857
10034,14.2857
10035,14.2857
10036,14.2857
10037,14.2857
10038,14.2857
10039,14.2857
10040,14.2857
10041,14.2857
10042,14.2857
10043,14.2857
10044,14.2857
10045,14.2857
10046,14.2857
10047,14.2857
10048,14.2857
10049,14.2857
10050,14.2857
10051,14.2857
10052,14.2857
10053,14.2857
10054,14.2857
10055,14.2857
10056,14.2857
10057,14.2857
10058,14.2857
10059,14.2857
10060,14.2857
10061,14.2857
10062,14.2857
10063,14.2857
10064,14.2857
10065,14.2857
10066,14.2857
10067,14.2857
10068,14.2857
10069,14.2857
10070,14.2857
10071,14.2857
10072,14.2857
10073,14.2857
10074,14.2857
10075,14.2857
10076,14.2857
10077,14.2857
10078,14.2857
10079,14.2857
10080,14.2857
10081,14.2857
10082,14.2857
10083,14.2857
10084,14.2857
10085,14.2857
10086,14.2857
10087,14.2857
10088,14.2857
10089,14.2857
10090,14.2857
10091,14.2857
10092,14.2857
10093,14.2857
10094,14.2857
10095,14.2857
10096,14.2857
10097,14.2857
10098,14.2857
10099,14.2857
10100,14.2857
10101,14.2857
10102,14.2857
10103,14.2857
10104,14.2857
10105,14.2857
10106,14.2857
10107,14.2857
10108,14.2857
10109,14.2857
10110,14.2857
10111,14.2857
10112,14.2857
10113,14.2857
10114,14.2857
10115,14.2857
10116,14.2857
10117,14.2857
10118,14.2857
10119,14.2857
10120,14.2857
10121,14.2857
10122,14.2857
10123,14.2857
10124,14.2857
10125,14.2857
10126,14.2857
10127,14.2857
10128,14.2857
10129,14.2857
10130,14.2857
10131,14.2857
10132,14.2857
10133,14.2857
10134,14.2857
10135,14.2857
10136,14.2857
10137,14.2857
10138,14.2857
10139,14.2857
10140,14.2857
10141,14.2857
10142,14.2857
10143,14.2857
10144,14.2857
10145,14.2857
10146,14.2857
10147,14.2857
10148,14.2857
10149,14.2857
10150,14.2857
10151,14.2857
10152,14.2857
10153,14.2857
10154,14.2857
10155,14.2857
10156,14.2857
10157,14.2857
10158,14.2857
10159,14.2857
10160,14.2857
10161,14.2857
10162,14.2857
10163,14.2857
10164,14.2857
10165,14.2857
10166,14.2857
10167,14.2857
10168,14.2857
10169,14.2857
10170,14.2857
10171,14.2857
10172,14.2857
10173,14.2857
10174,14.2857
10175,14.2857
10176,14.2857
10177,14.2857
10178,14.2857
10179,14.2857
10180,14.2857
10181,14.2857
10182,14.2857
10183,14.2857
10184,14.2857
10185,14.2857
10186,14.2857
10187,14.2857
10188,14.2857
10189,14.2857
10190,14.2857
10191,14.2857
10192,14.2857
10193,14.2857
10194,14.2857
10195,14.2857
10196,14.2857
10197,14.2857
10198,14.2857
10199,14.2857
10200,14.2857
10201,14.2857
10202,14.2857
10203,14.2857
10204,14.2857
10205,14.2857
10206,14.2857
10207,14.2857
10208,14.2857
10209,14.2857
10210,14.2857
10211,14.2857
10212,14.2857
10213,14.2857
10214,14.2857
10215,14.2857
10216,14.2857
10217,14.2857
10218,14.2857
10219,14.2857
10220,14.2857
10221,14.2857
10222,14.2857
10223,14.2857
10224,14.2857
10225,14.2857
10226,14.2857
10227,14.2857
10228,14.2857
10229,14.2857
10230,14.2857
10231,14.2857
10232,14.2857
10233,14.2857
10234,14.2857
10235,14.2857
10236,14.2857
10237,14.2857
10238,14.2857
10239,14.2857
10240,14.2857
10241,14.2857
10242,14.2857
10243,14.2857
10244,14.2857
10245,14.2857
10246,14.2857
10247,14.2857
10248,14.2857
10249,14.2857
10250,14.2857
10251,14.2857
